showid,name,type,rating,duration,description,hook_text,genre,release_year,release_date,mood_tag,actors,creator,director,audio,subtitles,tags,similar_titles_id,production_country
81747490,After Everything,Movie,A,1.55,"Heartbroken and suffering from writer's block, Hardin heads to Lisbon to make amends with his past so he can focus on building a future with Tessa.",Hero Fiennes Tiffin and Josephine Langford return for the closing chapter of the film franchise based on Anna Todd's novels.,Drama,2024,2024-2-1,Emotional;Romantic,Hero Fiennes Tiffin;Josephine Langford;Mimi Keene;Stephen Moyer;Louise Lombard;Arielle Kebbel;Carter Jenkins;Rob Estes;Frances Turner;Benjamin Mascolo;Chance Perdomo;Kiana Madeira,,Castille Landon,English - Audio Description;English [Original],English,Dramas;Romantic Movies;Movies Based on Books;US Movies,81397456;81172914;81397455;81388078;81484068;81740214;81716080;80143556;81697985;81043665;81268316;80013872,United States
81729517,Pete Davidson: Turbo Fonzarelli,Movie,A,0.9333,"From his childhood crush on Leonardo DiCaprio to the disturbing gift he got from a stalker, comedian Pete Davidson cuts loose in this stand-up special.","The actor and ""SNL"" alum riffs on turning 30, his mom's midlife crisis and more for an enthusiastic New Jersey audience.",Comedy,2024,2024-1-9,Absurd;Raunchy,Pete Davidson,,Jason Orley,English - Audio Description;English [Original],English,Stand-Up Comedy,81073637;81619082;81229595;80167499;81635847;81665820;81717103;81714181;81078615;81605926;81681458;81708429,
81704688,Kingdom 3: The Flame of Destiny,Movie,U/A 16+,2.15,"To defend their kingdom against a sudden invasion, a mighty general returns to the battlefield alongside a war orphan, now grown up, who dreams of glory.",,Action,2023,2024-1-9,Exciting,Kento Yamazaki;Ryo Yoshizawa;Kanna Hashimoto;Nana Seino;Shinnosuke Mitsushima;Amane Okayama;Takahiro Miura;Anne;Yuki Yamada;Masahiro Takashima;Jun Kaname;Masaya Kato;Mitsuomi Takahashi;Yusuke Hirayama;Ainosuke Kataoka;Koji Yamamoto;Masami Nagasawa;Hiroshi Tamaki;Koichi Sato;Takao Osawa,,Shinsuke Sato,Japanese [Original],English;Japanese,Japanese;Military Movies;Action & Adventure Movies,81153955;81631722;81313229;80180171;81067756;81436990;81721676;70293105;81212831;81446739;81313227;70309073,Japan
81736316,Level 1 Demon Lord and One Room Hero,TVSeries,U/A 16+,1 Season,"Ten years after his showdown with Max, the demon lord returns for a rematch. But now he's a chibi, and the hero's a deadbeat who needs his help!",,Anime,2023,2024-1-9,Raunchy;Goofy,Yuichi Nakamura;Naomi Ohzora;Yoko Hikasa;Yoshitsugu Matsuoka;Hiro Shimono;Ami Koshimizu,,,,,Sci-Fi & Fantasy Anime;Japanese;Anime Series;Seinen Anime;TV Shows Based on Manga,81746882;70309073;80193178;81564899;81598010;81474718;81194192;81450803;81726765;81681485;81733654;81672787,Japan
28369403,Galaxy Quest,Movie,U/A 13+,1.7,"Decades after the success of a sci-fi series, the show's washed-up stars are recruited by actual aliens to pull off an intergalactic rescue mission.","Tim Allen, Sigourney Weaver and Alan Rickman play actors turned intergalactic heroes in this cult hit.",Comedy,1999,2024-1-7,Campy;Absurd,Tim Allen;Sigourney Weaver;Alan Rickman;Tony Shalhoub;Sam Rockwell;Daryl Mitchell;Enrico Colantoni;Robin Sachs;Patrick Breen;Missi Pyle;Jed Rees;Justin Long;Rainn Wilson,,Dean Parisot,English - Audio Description;English [Original];Hindi,English;Hindi,Sci-Fi Movies;Satires;Comedy Movies;Action & Adventure Movies;US Movies,924712;70123542;81446739;81309354;80090726;60028097;80079256;80144309;70158329;60022933;80048940;70305928,United States
81736237,Air Mata di Ujung Sajadah,Movie,U/A 7+,1.7333,"For years, Aqilla thought her son died at birth — until a shocking revelation leads her on a trip to meet the couple raising her child.",,Drama,2023,2024-1-7,Sentimental;Heartfelt;Emotional,Titi Kamal;Fedi Nuril;Citra Kirana;Krisjiana Baharudin;Faqih Alaydrus;Jenny Rachman;Tutie Kirana;Mbok Tun,,Key Mangunsong,Indonesian [Original],English;Indonesian,Indonesian;Dramas,81440944;81285891;81697985;81268316;81327369;81476989;81678775;81260640;81740214;81682028;81683734;81586657,Indonesia
81746882,The Unwanted Undead Adventurer,TVSeries,U/A 16+,1 Season,"After a powerful dragon devours him, an average adventurer transforms into a living skeleton and sets out on a mystical journey to regain human form.",,Anime,2024,2024-1-5,Exciting,Ryota Suzuki;Mikako Komatsu;Ikumi Hasegawa;Sayumi Suzushiro,,,,,Sci-Fi & Fantasy Anime;Japanese;Anime based on Light Novels;Anime Series,81686706;81474718;81736316;81564899;80193178;70309073;81597507;81681485;81672787;80132110;81686608;81028712,Japan
81462549,Good Grief,Movie,A,1.6667,"An artist grieving the loss of his famous writer husband takes his two best friends on a trip to Paris, where they unpack messy secrets and hard truths.","A love letter to loss, friendship and romance starring Daniel Levy (""Schitt's Creek""), who directed, wrote and produced.",Comedy,2024,2024-1-5,Witty;Bittersweet;Heartfelt,Daniel Levy;Ruth Negga;Luke Evans;Himesh Patel;Celia Imrie;David Bradley;Arnaud Valois;Emma Corrin;Kaitlyn Dever,,Daniel Levy,English - Audio Description;English [Original];Hindi,English,Romantic Comedies;LGBTQ Movies;Dramas;Comedy Movies;Romantic Movies;US Movies,81268316;81588093;80036165;81645391;80169498;81740214;81586657;81682028;81446739;81716080;81688853;80184100,United States
81754783,Conjuring Kannappan (Telugu),Movie,U/A 16+,2.3333,"After clumsily plucking feathers off a spooky dreamcatcher, a family finds itself in a nightmarish realm where injuries and death manifest in reality.",,Horror,2023,2024-1-4,Scary;Goofy,Sathish;Regina Cassandra;Nassar;Anandraj;Saranya Ponvannan;Elli Avram;VTV Ganesh;Redin Kingsley,,Selvin Raj Xavier,Telugu,English,Comedy Movies;Horror Movies,81704206;81754785;81678103;81754784;81632775;81632774;81588444;81688853;81177374;81052275;81252029;81382265,India
81754785,Conjuring Kannappan (Kannada),Movie,U/A 16+,2.3333,"After clumsily plucking feathers off a spooky dreamcatcher, a family finds itself in a nightmarish realm where injuries and death manifest in reality.",,Horror,2023,2024-1-4,Scary;Goofy,Sathish;Regina Cassandra;Nassar;Anandraj;Saranya Ponvannan;Elli Avram;VTV Ganesh;Redin Kingsley,,Selvin Raj Xavier,Kannada,English,Comedy Movies;Horror Movies,81704206;81754783;81754784;81699652;81688853;81241510;81496130;81446739;81632777;81678103;81632774;81029150,India
